school,school_id,name,department,rating,difficulty,takeagain,most_common_tag,tags
Truman State University,1038,Judy Johnson  ,Communication,2.3,2.4,,,
Truman State University,1038,Jason Luscier  ,Biology,4.3,2.4,,,
Truman State University,1038,Ilene Elmlinger  ,Communication,,2.4,,,
Truman State University,1038,Aaron Rooks  ,English,4.6,1.7,100%,,
Truman State University,1038,Steve Salt  ,Agriculture,2.7,1.7,,,
Truman State University,1038,Ashley Lough  ,Biology,4.7,1.7,,,
Truman State University,1038,Jessica Hessel  ,Physical Education,,1.7,,,
Truman State University,1038,David Chan  ,English,1.9,1.7,,,
Truman State University,1038,Jack Winstead  ,Accounting,3.2,3.4,75%,,
Truman State University,1038,Rossen Trendafilov  ,Economics,3.3,3.4,,,
Truman State University,1038,Jennifer Jones  ,Chemistry,1.6,3.4,,,
Truman State University,1038,Jose Carreno Medina  ,Languages,4.3,2.7,93%,,
Truman State University,1038,David Schutter  ,Physical Education,,1.4,50%,,
Truman State University,1038,Ben Wodika  ,Biology,2.3,,50%,,
Truman State University,1038,Paula Cochran  ,Communication,2.3,,,,
Truman State University,1038,Neil Gilchrist  ,Business,3.8,,,,
Truman State University,1038,Paul Shapiro  ,Sociology,4.2,2.9,89%,,
Truman State University,1038,Carolina Sempertegui-Sosa  ,Biology,3.8,1.9,80%,,
Truman State University,1038,Lisa Goran  ,Education,3.2,2.4,50%,,
Truman State University,1038,Nick Wallner  ,English,,2.4,,,
Truman State University,1038,Silvia Pites  ,Languages,1.3,2.4,,,
Truman State University,1038,Jonathan Vieker  ,Advisor,,2.4,,,
Truman State University,1038,Evan Williams  ,Philosophy,,2.4,,,
Truman State University,1038,Daewood Afzal  ,Chemistry,1.4,,7%,,
Truman State University,1038,Narelle Deatherage  ,Science,2.2,,,,
Truman State University,1038,Daniel Garbo  ,Business,4.8,,,,
Truman State University,1038,Dennis Poepsel  ,Psychology,2.5,,,,
Truman State University,1038,Lily Lee  ,Fine Arts,,,,,
Truman State University,1038,Alicia Wodika  ,Health Science,4.8,2.8,100%,,
Truman State University,1038,Rebecca Dierking  ,Education,4.8,2.8,100%,,
Truman State University,1038,Benjamin Lewis  ,Computer Science,3.1,2.3,100%,,
Truman State University,1038,Darson Rhodes  ,Health Science,4.4,2.3,,,
Truman State University,1038,Kelsey Aurand De Razo  ,Advisor,1.7,2.3,,,
Truman State University,1038,Arlen Egley  ,Criminal Justice,3.8,2.7,75%,,
Truman State University,1038,Jocelyn Cullity  ,English,3.9,3.2,67%,,
Truman State University,1038,Mohammad Samiullah  ,Physics,2.5,4.8,100%,,
Truman State University,1038,John Jones  ,Education,4.8,1.9,100%,,
Truman State University,1038,Michael Seipel  ,Agriculture,3.8,3.7,67%,,
Truman State University,1038,Christopher Kelley  ,Social Science,4.5,3.7,,,
Truman State University,1038,Brad Smith  ,English,4.8,1.9,100%,,
Truman State University,1038,Lok Ng  ,Music,4.3,,100%,,
Truman State University,1038,Joshua DeLeeuw  ,Business,4.8,,,,
Truman State University,1038,Steven Smith  ,Business,3.3,,67%,,
Truman State University,1038,Curran Prendergast  ,Music,3.9,2.5,86%,,
Truman State University,1038,Stacy Kaden  ,Accounting,3.8,3.7,67%,,
Truman State University,1038,Rebecca Zimmer  ,Psychology,4.7,3.1,100%,,
Truman State University,1038,Jeanie Casaday  ,Communication,3.2,3.1,,,
Truman State University,1038,Dilli Bhatta  ,Mathematics,3.3,3.1,,,
Truman State University,1038,Jason Anderson  ,Military Science,4.5,3.1,,,
Truman State University,1038,Hayden Wilsey  ,English,,,100%,,
Truman State University,1038,Itir Gunes  ,Philosophy,3.3,3.2,100%,,
Truman State University,1038,Jared  Young   ,Journalism,3.8,3.2,,,
Truman State University,1038,Stephanie Russell  ,History,3.6,3.6,55%,,
Truman State University,1038,Chandrika Collins  ,Communication,4.4,2.4,100%,,
Truman State University,1038,Adam King  ,Health Science,2.5,2.4,,,
Truman State University,1038,Astha Sen  ,Economics,4.6,2.4,,,
Truman State University,1038,David Price  ,Communication,3.3,3.6,42%,,
Truman State University,1038,Christopher Kelley  ,Sociology,2.7,3.6,,,
Truman State University,1038,Douglas Davenport  ,Criminal Justice,,3.6,,,
Truman State University,1038,Kathy Otero  ,Accounting,3.8,3.7,100%,,
Truman State University,1038,Carmen Perez  ,Languages,3.7,3.7,,,
Truman State University,1038,Ankit Chaudhary  ,Computer Science,2.9,3.7,,,
Truman State University,1038,Anton Daughters  ,Anthropology,4.4,2.2,93%,,
Truman State University,1038,Erica Raines  ,English,,,100%,,
Truman State University,1038,Julia Judlin  ,English,,,100%,,
Truman State University,1038,Sergey Sedinkin  ,Chemistry,3.6,4.4,84%,,
Truman State University,1038,Ronald Erickson  ,Chemistry,,4.4,,,
Truman State University,1038,Ujjaini Das  ,Sociology,,4.4,,,
Truman State University,1038,John Palumbo  ,Mathematics,1.6,4.4,,,
Truman State University,1038,Bridget Thomas  ,Classics,,4.4,,,
Truman State University,1038,Alex Tetlak  ,Classics,,,100%,,
Truman State University,1038,Joyce Patrick  ,Biology,3.5,,75%,,
Truman State University,1038,Wayne Johnson  ,Mathematics,4.5,3.1,100%,,
Truman State University,1038,Kerrin Smith  ,Computer Science,3.1,3.1,,,
Truman State University,1038,Uran Chu  ,Mathematics,2.6,2.7,39%,,
Truman State University,1038,Brian Adams  ,Chemistry,4.2,3.4,100%,,
